event_date,year,event_type,detail,pdf_url,keyword,source
2021-09-04,2021,收购/并购,关于鲁西化工集团股份有限公司收购报告书之法律意见,http://static.cninfo.com.cn/finalpage/2021-09-04/1210968968.PDF,收购报告书,巨潮资讯网
2021-09-04,2021,收购/并购,关于中国中化控股有限责任公司收购鲁西化工集团股份有限公司免于发出要约之法律意见,http://static.cninfo.com.cn/finalpage/2021-09-04/1210968969.PDF,要约收购,巨潮资讯网
2022-04-18,2022,发行股份购买资产,关于筹划发行股份购买资产暨关联交易事项的停牌公告,http://static.cninfo.com.cn/finalpage/2022-04-18/1212942045.PDF,发行股份购买资产,巨潮资讯网
2022-04-30,2022,重大资产重组,董事会关于本次交易不构成《上市公司重大资产重组管理办法》第十三条规定的重组上市的说明,http://static.cninfo.com.cn/finalpage/2022-04-30/1213263867.PDF,重大资产重组,巨潮资讯网
2022-04-30,2022,重大资产重组,董事会关于本次交易符合《关于规范上市公司重大资产重组若干问题的规定》第四条的说明,http://static.cninfo.com.cn/finalpage/2022-04-30/1213263868.PDF,重大资产重组,巨潮资讯网
2022-04-30,2022,重大资产重组,董事会关于本次交易符合《上市公司重大资产重组管理办法》第十一条规定的说明,http://static.cninfo.com.cn/finalpage/2022-04-30/1213263869.PDF,重大资产重组,巨潮资讯网
2022-04-30,2022,重大资产重组,董事会关于本次交易符合《上市公司重大资产重组管理办法》第四十三条规定的说明,http://static.cninfo.com.cn/finalpage/2022-04-30/1213263870.PDF,重大资产重组,巨潮资讯网
2022-04-30,2022,重大资产重组,董事会关于本次交易相关主体不存在根据《上市公司监管指引第7号——上市公司重大资产重组相关股票异常交易监管》第十三条不得参与任何上市公司重大资产重组情形的说明,http://static.cninfo.com.cn/finalpage/2022-04-30/1213263872.PDF,重大资产重组,巨潮资讯网
2022-11-24,2022,重大资产重组,董事会关于本次交易相关主体不存在根据《上市公司监管指引第7号——上市公司重大资产重组相关股票异常交易监管》第十三条不得参与任何上市公司重大资产重组情形的说明,http://static.cninfo.com.cn/finalpage/2022-11-24/1215187989.PDF,重大资产重组,巨潮资讯网
2022-11-24,2022,重大资产重组,董事会关于本次交易符合《关于规范上市公司重大资产重组若干问题的规定》第四条的说明,http://static.cninfo.com.cn/finalpage/2022-11-24/1215187990.PDF,重大资产重组,巨潮资讯网
2022-11-24,2022,重大资产重组,董事会关于本次交易符合《上市公司重大资产重组管理办法》第十一条规定的说明,http://static.cninfo.com.cn/finalpage/2022-11-24/1215187995.PDF,重大资产重组,巨潮资讯网
2022-11-24,2022,重大资产重组,董事会关于本次交易符合《上市公司重大资产重组管理办法》第四十三条规定的说明,http://static.cninfo.com.cn/finalpage/2022-11-24/1215188000.PDF,重大资产重组,巨潮资讯网
2022-11-24,2022,重大资产重组,中泰证券股份有限公司关于本次交易相关主体是否存在依据《上市公司监管指引第7号—上市公司重大资产重组相关股票异常交易监管》第十三条规定不得参与任何上市公司重大资产重组情形的核查意见,http://static.cninfo.com.cn/finalpage/2022-11-24/1215188010.PDF,重大资产重组,巨潮资讯网
2022-11-24,2022,发行股份购买资产,上市公司并购重组财务顾问专业意见附表第3号——发行股份购买资产,http://static.cninfo.com.cn/finalpage/2022-11-24/1215188012.PDF,发行股份购买资产,巨潮资讯网
2022-11-24,2022,发行股份购买资产,关于暂不召开股东大会对发行股份购买资产相关事项进行审议的公告,http://static.cninfo.com.cn/finalpage/2022-11-24/1215187996.PDF,发行股份购买资产,巨潮资讯网
2022-11-24,2022,重大资产重组,董事会关于本次交易不构成《上市公司重大资产重组管理办法》第十三条规定的重组上市的说明,http://static.cninfo.com.cn/finalpage/2022-11-24/1215188027.PDF,重大资产重组,巨潮资讯网
2023-03-30,2023,发行股份购买资产,关于公司发行股份购买资产事项获得深圳证券交易所并购重组审核委员会审核通过的公告,http://static.cninfo.com.cn/finalpage/2023-03-30/1216261090.PDF,发行股份购买资产,巨潮资讯网
2024-12-31,2024,其他重组事项,关于控股股东股权结构拟发生变更的公告,http://static.cninfo.com.cn/finalpage/2024-12-31/1222183601.PDF,控股股东变更,巨潮资讯网
