event_date,year,event_type,detail,pdf_url,keyword,source
2014-01-16,2014,重组相关,重组报告书独立财务顾问核查意见表,http://static.cninfo.com.cn/finalpage/2014-01-16/63489069.PDF,重组报告书,巨潮资讯网
2014-01-16,2014,重大资产重组,董事会关于重大资产重组的一般风险提示公告,http://static.cninfo.com.cn/finalpage/2014-01-16/63489108.PDF,重大资产重组,巨潮资讯网
2014-02-19,2014,要约收购,内蒙古建中律师事务所关于内蒙古博源控股集团有限公司及其一致行动人北京中稷弘立资产管理有限公司免于提交豁免要约收购申请之专项核查法律意见,http://static.cninfo.com.cn/finalpage/2014-02-19/63585604.PDF,要约收购,巨潮资讯网
2014-03-27,2014,重大资产重组,关于重大资产重组申请材料获得中国证监会行政许可申请受理的公告,http://static.cninfo.com.cn/finalpage/2014-03-27/63730408.PDF,重大资产重组,巨潮资讯网
2014-04-02,2014,收购/并购,中国中煤能源股份有限公司拟收购内蒙古中煤蒙大新能源化工有限公司部分股权项目资产评估报告书,http://static.cninfo.com.cn/finalpage/2014-04-02/63772306.PDF,收购报告书,巨潮资讯网
2014-05-23,2014,重大资产重组,关于调整本次重大资产重组募集配套资金用途的公告,http://static.cninfo.com.cn/finalpage/2014-05-23/64056390.PDF,重大资产重组,巨潮资讯网
2014-06-25,2014,重大资产重组,关于中国证监会上市公司并购重组审核委员会审核公司重大资产重组事项的停牌提示性公告,http://static.cninfo.com.cn/finalpage/2014-06-25/1200005449.PDF,重大资产重组,巨潮资讯网
2014-07-02,2014,重大资产重组,关于公司重大资产重组事项获得中国证监会并购重组委员会审核通过暨公司股票复牌的公告,http://static.cninfo.com.cn/finalpage/2014-07-02/1200024303.PDF,重大资产重组,巨潮资讯网
2014-07-30,2014,发行股份购买资产,关于发行股份购买资产并募集配套资金获得中国证监会核准批复的公告,http://static.cninfo.com.cn/finalpage/2014-07-30/1200088860.PDF,发行股份购买资产,巨潮资讯网
2014-07-31,2014,发行股份购买资产,发行股份购买资产并募集配套资金暨关联交易报告书修订说明,http://static.cninfo.com.cn/finalpage/2014-07-31/1200089137.PDF,发行股份购买资产,巨潮资讯网
2014-07-31,2014,发行股份购买资产,发行股份购买资产并募集配套资金暨关联交易报告书（修订稿）摘要,http://static.cninfo.com.cn/finalpage/2014-07-31/1200089136.PDF,发行股份购买资产,巨潮资讯网
2014-07-31,2014,发行股份购买资产,发行股份购买资产并募集配套资金暨关联交易报告书（修订稿）,http://static.cninfo.com.cn/finalpage/2014-07-31/1200089135.PDF,发行股份购买资产,巨潮资讯网
2014-08-27,2014,发行股份购买资产,发行股份购买资产交割确认书,http://static.cninfo.com.cn/finalpage/2014-08-27/1200172678.PDF,发行股份购买资产,巨潮资讯网
2014-08-27,2014,发行股份购买资产,关于向特定对象发行股份购买资产并募集配套资金之标的资产过户完成情况的公告,http://static.cninfo.com.cn/finalpage/2014-08-27/1200174044.PDF,发行股份购买资产,巨潮资讯网
2014-09-04,2014,发行股份购买资产,发行股份购买资产并募集配套资金暨关联交易实施情况报告书,http://static.cninfo.com.cn/finalpage/2014-09-04/1200202665.PDF,发行股份购买资产,巨潮资讯网
2014-09-04,2014,发行股份购买资产,关于公司非公开发行股份购买资产暨重大资产重组实施情况之法律意见书,http://static.cninfo.com.cn/finalpage/2014-09-04/1200202667.PDF,重大资产重组,巨潮资讯网
2014-09-04,2014,发行股份购买资产,海通证券股份有限公司关于公司向特定对象发行股份购买资产并募集配套资金暨关联交易实施情况之独立财务顾问核查意见,http://static.cninfo.com.cn/finalpage/2014-09-04/1200202666.PDF,发行股份购买资产,巨潮资讯网
2014-09-19,2014,发行股份购买资产,关于公司非公开发行股份购买资产暨重大资产重组实施情况之法律意见书,http://static.cninfo.com.cn/finalpage/2014-09-19/1200247052.PDF,重大资产重组,巨潮资讯网
2014-09-19,2014,重大资产重组,关于重大资产重组相关方承诺事项的公告,http://static.cninfo.com.cn/finalpage/2014-09-19/1200247054.PDF,重大资产重组,巨潮资讯网
2014-09-19,2014,发行股份购买资产,海通证券股份有限公司关于公司向特定对象发行股份购买资产并募集配套资金暨关联交易实施情况之独立财务顾问核查意见,http://static.cninfo.com.cn/finalpage/2014-09-19/1200247050.PDF,发行股份购买资产,巨潮资讯网
2015-01-15,2015,重大资产重组,关于公司重大资产重组之配套募集资金发行合法合规的法律意见书,http://static.cninfo.com.cn/finalpage/2015-01-15/1200544964.PDF,重大资产重组,巨潮资讯网
2015-01-15,2015,发行股份购买资产,海通证券股份有限公司关于公司向特定对象发行股份购买资产并募集配套资金暨关联交易之非公开发行股票募集配套资金上市保荐书,http://static.cninfo.com.cn/finalpage/2015-01-15/1200544969.PDF,发行股份购买资产,巨潮资讯网
2015-01-15,2015,发行股份购买资产,发行股份购买资产并募集配套资金暨关联交易之募集配套资金非公开发行股票相关承诺公告,http://static.cninfo.com.cn/finalpage/2015-01-15/1200544967.PDF,发行股份购买资产,巨潮资讯网
2015-04-02,2015,发行股份购买资产,关于公司发行股份购买资产并募集配套资金暨关联交易之2014年度业绩承诺实现情况的专项审核报告,http://static.cninfo.com.cn/finalpage/2015-04-02/1200779256.PDF,发行股份购买资产,巨潮资讯网
2015-04-02,2015,发行股份购买资产,海通证券股份有限公司关于公司发行股份购买资产并募集配套资金暨关联交易之2014年度业绩承诺实现情况的核查意见,http://static.cninfo.com.cn/finalpage/2015-04-02/1200779239.PDF,发行股份购买资产,巨潮资讯网
2015-04-17,2015,发行股份购买资产,海通证券股份有限公司关于公司向特定对象发行股份购买资产并募集配套资金暨关联交易之持续督导报告（2014年度）,http://static.cninfo.com.cn/finalpage/2015-04-17/1200861097.PDF,发行股份购买资产,巨潮资讯网
2015-05-13,2015,发行股份购买资产,海通证券股份有限公司关于公司向特定对象发行股份购买资产并募集配套资金暨关联交易之持续督导工作报告书（2015年一季度）,http://static.cninfo.com.cn/finalpage/2015-05-13/1201005204.PDF,发行股份购买资产,巨潮资讯网
2015-08-27,2015,发行股份购买资产,海通证券股份有限公司关于公司向特定对象发行股份购买资产并募集配套资金暨关联交易之持续督导报告（2015年上半年度）,http://static.cninfo.com.cn/finalpage/2015-08-27/1201501625.PDF,发行股份购买资产,巨潮资讯网
2015-11-03,2015,收购/并购,海通证券股份有限公司关公司收购股权的关联交易之专项核查意见,http://static.cninfo.com.cn/finalpage/2015-11-03/1201748742.PDF,股权收购,巨潮资讯网
2015-11-03,2015,收购/并购,关于收购内蒙古博源化学有限责任公司40%股权的关联交易公告,http://static.cninfo.com.cn/finalpage/2015-11-03/1201748740.PDF,股权收购,巨潮资讯网
2015-12-08,2015,收购/并购,海通证券股份有限公司关于公司收购内蒙古博大实地化学有限公司股权的关联交易之专项核查意见,http://static.cninfo.com.cn/finalpage/2015-12-08/1201812336.PDF,股权收购,巨潮资讯网
2015-12-08,2015,收购/并购,关于收购内蒙古博大实地化学有限公司8.46%股权的关联交易公告,http://static.cninfo.com.cn/finalpage/2015-12-08/1201812334.PDF,股权收购,巨潮资讯网
2016-04-09,2016,发行股份购买资产,关于公司发行股份购买资产并募集配套资金暨关联交易之2015年度业绩承诺实现情况的专项审核报告,http://static.cninfo.com.cn/finalpage/2016-04-09/1202155000.PDF,发行股份购买资产,巨潮资讯网
2016-04-23,2016,发行股份购买资产,海通证券股份有限公司关于公司向特定对象发行股份购买资产并募集配套资金暨关联交易之2015年度持续督导报告暨总结报告,http://static.cninfo.com.cn/finalpage/2016-04-23/1202226237.PDF,发行股份购买资产,巨潮资讯网
2016-04-23,2016,发行股份购买资产,海通证券股份有限公司关于公司发行股份购买资产并募集配套资金暨关联交易之2015年度业绩承诺实现情况的核查意见,http://static.cninfo.com.cn/finalpage/2016-04-23/1202226238.PDF,发行股份购买资产,巨潮资讯网
2016-04-23,2016,发行股份购买资产,海通证券股份有限公司关于公司发行股份购买资产并募集配套资金暨关联交易之2015年度募集资金存放与使用情况的专项核查意见,http://static.cninfo.com.cn/finalpage/2016-04-23/1202226239.PDF,发行股份购买资产,巨潮资讯网
2016-04-30,2016,收购/并购,关于收购内蒙古博大实地化学有限公司20%股权的关联交易公告,http://static.cninfo.com.cn/finalpage/2016-04-30/1202281449.PDF,股权收购,巨潮资讯网
2017-04-26,2017,发行股份购买资产,关于公司发行股份购买资产并募集配套资金暨关联交易之2016年度业绩承诺实现情况的专项审核报告,http://static.cninfo.com.cn/finalpage/2017-04-26/1203383008.PDF,发行股份购买资产,巨潮资讯网
2017-05-04,2017,发行股份购买资产,海通证券股份有限公司关于公司发行股份购买资产并募集配套资金暨关联交易之2016年度业绩承诺实现情况的核查意见,http://static.cninfo.com.cn/finalpage/2017-05-04/1203473732.PDF,发行股份购买资产,巨潮资讯网
2017-08-24,2017,控制权变更,关于控股股东变更承诺事项履行期限的公告,http://static.cninfo.com.cn/finalpage/2017-08-24/1203854905.PDF,控股股东变更,巨潮资讯网
2017-08-24,2017,控制权变更,海通证券股份有限公司关于公司控股股东变更承诺事项履行期限的核查意见,http://static.cninfo.com.cn/finalpage/2017-08-24/1203854909.PDF,控股股东变更,巨潮资讯网
2019-06-15,2019,重大资产重组,关于重大资产重组限售股份解除限售的提示性公告,http://static.cninfo.com.cn/finalpage/2019-06-15/1206354431.PDF,重大资产重组,巨潮资讯网
2021-07-26,2021,收购/并购,内蒙古远兴能源股份有限公司拟收购内蒙古蜜多能源有限责任公司持有的内蒙古博源银根矿业有限责任公司9.5%股权价值项目资产评估报告,http://static.cninfo.com.cn/finalpage/2021-07-26/1210564914.PDF,股权收购,巨潮资讯网
2021-07-26,2021,收购/并购,关于收购参股子公司内蒙古博源银根矿业有限责任公司部分股权并对其增资暨关联交易的公告,http://static.cninfo.com.cn/finalpage/2021-07-26/1210564910.PDF,股权收购,巨潮资讯网
2021-12-24,2021,重大资产重组,招商证券关于远兴能源本次交易符合《关于规范上市公司重大资产重组若干问题的规定》第四条规定的核查意见,http://static.cninfo.com.cn/finalpage/2021-12-24/1212001633.PDF,重大资产重组,巨潮资讯网
2021-12-24,2021,重大资产重组,上市公司并购重组财务顾问专业意见附表第2号——重大资产重组,http://static.cninfo.com.cn/finalpage/2021-12-24/1212001629.PDF,重大资产重组,巨潮资讯网
