year,end_date,n_cashflow_act,n_cashflow_inv_act,n_cashflow_fin_act,capex,ma_cash,free_cashflow,c_cash_equ_end_period,fix_assets,cip,fix_assets_chg,cip_chg,c_pay_acq_const_fiolta,c_pay_acq_subcom,c_recp_disp_subcom,is_quarterly
2011,20111231,110105493.53,-45002489.8,220548801.06,37864193.88,0,72241299.65,383210476.5,25112012.04,,,,37864193.88,,,False
2012,20121231,122056946.85,-32219010.49,-40850000.0,32261433.4,0,89795513.44999999,432735875.48,30272325.92,,5160313.880000003,,32261433.4,,,False
2013,20131231,370420022.02,148522963.26,-281831200.0,22749786.58,0,347670235.44,659662605.55,26361792.05,,-3910533.870000001,,22749786.58,,,False
2014,20141231,396800219.07,-190371341.3,-166640010.2,31326632.15,0,365473586.92,704825166.03,30813873.38,,4452081.329999998,,31326632.15,,,False
2015,20151231,192153315.1,-1644326783.51,1719395517.57,8554766.47,0,183598548.63,994811978.64,25271425.57,,-5542447.809999999,,8554766.47,,,False
2016,20161231,357120976.89,-1956530908.79,1648001757.86,11911169.22,0,345209807.66999996,1057097819.87,25949831.32,,678405.75,,11911169.22,,,False
2017,20171231,1045795985.0,65038811.8,-112045004.04,22524888.81,0,1023271096.19,2024591699.88,22951588.41,,-2998242.91,,22524888.81,,,False
2018,20181231,1472965210.35,-214916169.82,-2171697359.54,11961460.63,0,1461003749.7199998,1175701309.68,21635409.01,,-1316179.3999999985,,11961460.63,,,False
2019,20191231,1169786539.41,892110264.95,-2161474278.56,3811163.69,0,1165975375.72,1076678336.81,14774126.29,,-6861282.7200000025,,3811163.69,,,False
2020,20201231,722592564.65,422465628.2,-380212936.32,8342700.79,0,714249863.86,1708874179.57,10010884.54,,-4763241.75,,8342700.79,,,False
2021,20211231,1173299077.65,-1156125174.7,-1158881846.28,54526684.35,0,1118772393.3000002,1545472065.95,57019355.31,,47008470.77,,54526684.35,,,False
2022,20221231,830830850.4,804920333.88,-2284978861.21,77839904.88,0,752990945.52,953239487.44,65173934.19,,8154578.879999995,,77839904.88,,,False
2023,20231231,884641185.32,-431316509.97,-288482655.28,397023429.01,0,487617756.31000006,1109996390.64,259661315.64,,194487381.45,,397023429.01,,,False
2024,20241231,289629629.26,170815561.24,-19750036.57,414433275.34,0,-124803646.07999998,1541031358.95,367668657.21,,108007341.57,,414433275.34,,,False
2025,20250930,-734480869.42,-321980503.51,624316696.04,,,,1107859155.3,,,,,,,,True
